               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 129,            0.024142,            0.019849,           0.0052621,             0.97325,             0.96684,             0.98316,             0.75779,            0.015216,             0.01479,           0.0022282,            0.006832,            0.006832,            0.006832
                 130,            0.023506,            0.020316,            0.005906,             0.96628,             0.97573,             0.98388,             0.75055,            0.014673,            0.014901,           0.0022077,           0.0068073,           0.0068073,           0.0068073
                 131,            0.022385,            0.020207,           0.0054005,             0.97421,             0.97573,             0.98446,             0.75393,            0.014944,            0.014746,           0.0022104,           0.0067825,           0.0067825,           0.0067825
                 132,            0.022048,            0.019985,           0.0038737,             0.96174,             0.98316,             0.98277,             0.75776,            0.014533,            0.014642,           0.0021137,           0.0067577,           0.0067577,           0.0067577
                 133,            0.023376,            0.020344,            0.005843,             0.96083,             0.97047,             0.98293,             0.74254,            0.015167,            0.015111,           0.0023798,            0.006733,            0.006733,            0.006733
                 134,            0.023816,            0.020502,            0.005525,             0.96618,             0.97709,             0.98115,             0.75508,            0.013956,            0.014634,           0.0021369,           0.0067082,           0.0067082,           0.0067082
                 135,            0.021518,            0.019225,           0.0036752,             0.97331,             0.98048,               0.985,             0.76499,             0.01512,            0.014452,           0.0020373,           0.0066835,           0.0066835,           0.0066835
                 136,            0.022163,            0.019885,           0.0046396,             0.97173,             0.97747,             0.98413,             0.76228,            0.014881,            0.014412,           0.0019746,           0.0066587,           0.0066587,           0.0066587
                 137,            0.023626,            0.019991,           0.0065208,             0.97171,             0.98152,             0.98484,             0.75957,            0.014407,            0.014305,           0.0020284,            0.006634,            0.006634,            0.006634
                 138,            0.023941,            0.020277,           0.0052788,             0.97712,             0.97304,              0.9831,             0.75998,            0.014719,            0.014311,           0.0021147,           0.0066092,           0.0066092,           0.0066092
                 139,            0.022635,            0.019594,           0.0035764,             0.97702,             0.97664,             0.98374,             0.76354,             0.01408,            0.014473,           0.0019753,           0.0065845,           0.0065845,           0.0065845
